player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Donovan Manuel,87272,LB,FIU,12,352,0,166,0,-2.0,100.0,69.2,14.0,14.0,0,0,0.0,75.3,0,11,0.0,0,0,83.3,3,45,12.8,65,4,3,3,0,12,18,0.3,4.0,0,3,1.6,96.0,95.8,9.0,8.7,0,0,0.0,42.0,0,45,31.0,9,0,119.5,24,226,64.2,236,7,17,25,1,237,206,1.1,9.9
Logan Taylor,87618,LB,HAWAII,11,235,0,180,0,6.7,33.3,80.0,56.0,18.7,0,1,33.3,62.8,1,5,50.0,2,0,2.8,1,64,27.2,80,2,2,3,0,5,0,0.1,5.0,0,7,4.3,86.4,98.5,6.8,5.9,0,0,0.0,51.2,0,43,14.3,3,0,119.9,19,133,56.6,135,6,11,22,1,201,132,1.6,10.6
Marcis Floyd,88366,S,W VIRGINIA,12,331,0,343,0,9.3,100.0,91.7,7.5,7.5,0,0,0.0,54.5,0,21,0.0,0,0,150.0,4,33,10.0,36,1,3,4,1,42,11,1.4,10.5,0,2,16.0,40.9,100.0,23.2,9.5,0,3,13.6,49.0,0,33,19.2,5,3,76.5,9,218,65.9,218,3,19,22,1,133,48,0.6,14.8
Scotty Humpich,88437,ED,PURDUE,12,9,0,273,0,,,6.5,,,0,0,,60.8,0,,,0,0,0.0,0,2,22.2,31,0,0,0,0,0,0,0.0,,0,0,3.0,0.0,6.6,,4.0,0,1,100.0,85.3,0,,0.0,0,1,39.6,0,6,66.7,91,2,1,1,0,0,0,0.0,
Gabriel Murphy,89099,ED,UCLA,12,17,0,324,0,,,3.2,,,0,0,,60.0,0,,,0,0,0.0,0,1,5.9,31,0,0,0,0,0,0,0.0,,0,1,3.0,100.0,8.4,13.0,13.0,0,0,0.0,52.1,0,23,16.7,1,0,118.8,1,14,82.4,166,4,4,1,0,23,20,1.8,23.0
BJ Sculark,89120,CB,NEW MEX ST,12,171,0,242,0,14.0,66.7,100.0,13.5,9.0,0,0,0.0,60.7,0,8,0.0,0,0,71.5,2,30,17.5,30,0,1,3,0,10,7,0.4,5.0,0,0,9.5,68.8,94.9,9.6,6.6,0,3,18.8,56.0,0,20,8.3,1,2,89.8,11,111,64.9,117,5,11,16,0,117,55,1.1,10.6
Joshua Bowers,89131,CB,MARSHALL,5,28,0,214,0,7.5,50.0,100.0,8.0,4.0,0,1,50.0,67.0,0,8,100.0,1,1,60.4,1,8,28.6,8,0,0,2,0,8,12,1.0,8.0,0,0,19.5,50.0,100.0,15.0,7.5,0,0,0.0,87.4,1,4,0.0,0,0,16.7,1,16,57.1,16,1,1,2,0,4,1,0.3,4.0
Charles Woods,89148,CB,W VIRGINIA,4,73,0,343,0,9.5,100.0,100.0,7.5,7.5,0,0,0.0,54.8,0,13,0.0,0,0,116.7,2,15,20.5,15,0,2,2,0,24,5,1.6,12.0,0,0,4.7,66.7,100.0,17.0,11.3,0,1,33.3,65.8,0,14,0.0,0,1,84.0,2,34,46.6,34,0,2,3,0,19,2,0.6,9.5
Jordan Anderson,89153,CB,CHARLOTTE,1,19,0,136,0,7.0,0.0,100.0,,2.0,0,0,0.0,62.7,0,,,0,0,39.6,0,3,15.8,3,0,0,1,0,0,0,0.0,,0,0,20.0,0.0,100.0,,13.0,0,1,100.0,70.1,0,,100.0,1,1,39.6,0,14,73.7,14,0,0,1,0,0,0,0.0,
Colby Richardson,89164,CB,LSU,9,195,0,211,0,18.3,40.0,100.0,11.0,4.4,0,1,10.0,63.5,0,24,33.3,1,0,95.8,4,49,25.1,49,0,2,10,1,65,23,1.5,16.3,0,3,19.3,41.7,99.2,23.2,9.7,0,0,0.0,55.0,0,36,20.0,2,0,72.2,5,123,63.1,124,0,5,12,0,102,23,0.9,20.4
